Z,AtomicMass,AtomicRadius,BoilingPoint,Density,Electronegativity,IonizationEnergies,MeltingPoint,MolarVolume,Phase,DiscoveryYear,Block,StableIsotopes,HumanAbundance,ElectronAffinity,ThermalConductivity,ElectricalConductivity,MohsHardness
63,0.36358323157289657,0.1882022471910113,0.5203386911693745,0.5758987062104333,-1,0.5970388684488803,0.5371291157584127,0.5846408352236376,0.75,0.21756048387096838,0.,0.08333333333333333,-1,0.6425501432664756,0.7255874869089016,0.7366935483870968,0.513507326007326
64,0.35005214817084124,0.1825842696629214,0.300003580605395,0.4876845437291049,0.6356707317073169,0.5639766655498639,0.4404537507153846,0.6175794329515466,0.75,0.2708132530120493,0.,0.4166666666666667,-1,0.6425501432664756,0.7308200889779563,0.7406854838709678,0.3436321141545023
65,0.34576359338884477,0.205056179775281,0.30256115588762345,0.477126732788547,-1,0.5833605195748097,0.4319872727177263,0.6201097194553202,0.75,0.38783132530120557,0.,0.,-1,0.6425501432664756,0.7308200889779563,0.7399596774193549,0.574509338133213
66,0.3366132174366773,0.1966292134831461,0.38734477649349597,0.46610411256129786,0.6310975609756097,0.5782141833160259,0.4209611618370551,0.6216313431870034,0.75,0.24749999999999994,0.,0.49999999999999994,-1,0.6425501432664756,0.7308200889779563,0.7366935483870968,0.6181318681318682
67,0.3303920932191815,0.202247191011236,0.3703369008666769,0.4580031507075364,0.628810975609756,0.5725713337815095,0.4087536819334548,0.6227964819060187,0.75,0.2771385542168685,0.,0.,-1,0.6425501432664756,0.722099085529532,0.7366935483870968,0.6306197078759574
68,0.32443114670069906,0.202247191011236,0.3488532684959581,0.4490057709437276,0.6265243902439024,0.5667984142537059,0.4042251006788934,0.6242278990302089,0.75,0.3909939759036152,0.,0.4166666666666667,-1,0.6425501432664756,0.7238432862192168,0.7354838709677419,0.6039238406325146
69,0.32014295029018874,0.2134831460674158,0.46624597395024314,0.4405728024566153,0.6242378048780487,0.5617196272311737,0.39477414849546094,0.6257766438760975,0.75,0.2739759036144589,0.,0.,-1,0.6425501432664756,0.7203548848398471,0.7330645161290322,0.620979533593603
70,0.30959712696651237,0.2134831460674158,0.562666562090255,0.5318746266281068,-1,0.5571753040089873,0.5377198002698772,0.5930106148586033,0.75,0.2771385542168685,0.,0.49999999999999994,-1,0.6425501432664756,0.6819824696667802,0.7064516129032258,-1
71,0.3047007485458821,0.2275280898876405,0.2805660084604589,0.42327525685903455,0.6196646341463414,0.6149846533598184,0.37154055771118943,0.6274693580279839,0.75,0.20558467741935504,0.1875,0.,-1,0.6425501432664756,0.722099085529532,0.728225806451613,0.5521978021978022
72,0.2956820741149095,0.252808988764045,0.12698361276264158,0.3081021557496149,0.6128048780487804,0.5216113347636626,0.2593105005329287,0.652194200053074,0.75,0.1736491935483877,0.1875,0.3333333333333333,-1,0.75,0.709889680701738,0.7100806451612903,0.3131868131868132
73,0.2893904019105501,0.2752808988764045,0.017647269447376046,0.19721194021042154,0.5670731707317072,0.46273343252658794,0.10494494820353151,0.6706240056515543,0.75,0.5175000000000001,0.1875,0.,-1,0.6833810888252149,0.6505868572524527,0.6568548387096774,0.23076923076923084
74,0.2819871637477139,0.2949438202247192,0.005243029328568238,0.1108902155391932,0.3704268292682926,0.4579484577144295,0.025202539155819936,0.6819548219282127,0.75,0.5254132231404959,0.1875,0.3333333333333333,-1,0.5810888252148997,0.4534921793180635,0.5080645161290323,0.14835164835164838
75,0.2759281258338537,0.3089887640449439,0.,0.05212504143608776,0.4756097560975609,0.4632685857961172,0.07166972072436295,0.6885449836161456,0.75,0.16965725806451637,0.1875,0.,-1,0.7188395415472779,0.6662846634596165,0.682258064516129,0.18956043956043955
